Produce,2012,2013,2014,2015,2016
Tomato (per kg.),10.43,10.28,9.27,12.92,12.06
Cabbage (per kg.),6.95,6.32,5.47,8.04,8.97
Cucumber (per kg.),4.88,4.1,5.57,4.94,4.29
Melongene (per kg.),5.38,5.19,7.22,7.91,11.75
Bodi (per kg.),6.68,8.07,8.39,9.89,9.07
Ochro (per kg.),24.79,20.8,21.27,19.98,19.18
Lettuce (per kg.),27.25,30.91,31.9,34.4,34.31
Patchoi (per kg.),9.39,10.27,9.71,10.53,12.3
Sweet Pepper (per kg.),12.37,5.01,8.97,12.58,10.95
Celery (per kg.),19.86,19.34,19.8,18.8,22.42
Pumpkin (per kg.),3.71,3.09,2.48,3.05,2.64
Dasheen Bush (per kg.),15.45,20.32,24.2,24.22,17.8
Cauliflower (per kg.),9.26,9.01,10.73,13.48,16.43
Chive (per kg.),9.2,14.72,16.97,22.31,25.79
Hot Pepper (per kg.),50.69,40.7,85.11,30.8,34.78
Sorrel (per kg.),7.76,6.32,6.45,6.46,5.39
Cassava (per kg.),4.43,4.61,4.25,4.58,4.89
Dasheen (per kg.),5.59,6.9,6.59,8.48,9.39
Yam (per kg.),8.48,7.9,8.04,6.5,7.7
Tannia (per kg.),0,0,0,0,0
Ginger (per kg.),13.48,13.04,39.93,59.84,19.55
Sweet Potato (per kg.),7.72,7.06,8.51,7.2,11.22
Green Corn (per kg.),14.42,16,23.93,28.09,23.66
Pigeon Peas (per kg.),11.14,16.84,13.61,14.2,16.23
Water Melon (per kg.),3.96,4.4,2.4,4.58,4.16
Eddoes (per kg.),6.61,6.36,7.88,8.34,7.07
Dry Corn (per kg.),0,0,0,0,0
Beans (per kg.),5.33,10.81,12.92,14.3,14.89
Rice Paddy (per kg.),2.91,2.95,2.99,2.93,2.81
