Tomato (per kg.);10.43
Cabbage (per kg.);6.95
Cucumber (per kg.);4.88
Melongene (per kg.);5.38
Bodi (per kg.);6.68
Ochro (per kg.);24.79
Lettuce (per kg.);27.25
Patchoi (per kg.);9.39
Sweet Pepper (per kg.);12.37
Celery (per kg.);19.86
Pumpkin (per kg.);3.71
Dasheen Bush (per kg.);15.45
Cauliflower (per kg.);9.26
Chive (per kg.);9.2
Hot Pepper (per kg.);50.69
Sorrel (per kg.);7.76
Cassava (per kg.);4.43
Dasheen (per kg.);5.59
Yam (per kg.);8.48
Tannia (per kg.);0
Ginger (per kg.);13.48
Sweet Potato (per kg.);7.72
Green Corn (per kg.);14.42
Pigeon Peas (per kg.);11.14
Water Melon (per kg.);3.96
Eddoes (per kg.);6.61
Dry Corn (per kg.);0
Beans (per kg.);5.33
Rice Paddy (per kg.);2.91
;
